session_path,session,date,participant,error_type,owner,bad_file,failed_stage,detail
EgoMotionActions/20260917/D49/20260917_052149_session81,20260917_052149_session81,20260917,lvaoshan,mocap_csv_missing,capture,mocap/mocap-D49-S01-lvaoshan-02p1-Body0.csv;mocap/mocap-D49-S01-lvaoshan-02p1-Tracker0.csv,fit,no *-Body0.csv / *-Tracker0.csv in mocap/
EgoMotionActions/20260917/D55/20260917_054009_session89,20260917_054009_session89,20260917,lvaoshan,mocap_csv_missing,capture,mocap/mocap-D55-S01-lvaoshan-02p1-Body0.csv;mocap/mocap-D55-S01-lvaoshan-02p1-Tracker0.csv,fit,no *-Body0.csv / *-Tracker0.csv in mocap/
EgoMotionActions/20260917/P31/20260917_040837_session56,20260917_040837_session56,20260917,lvaoshan,mocap_csv_missing,capture,mocap/mocap-P31-S08-lvaoshan-01p1-Body0.csv;mocap/mocap-P31-S08-lvaoshan-01p1-Tracker0.csv,fit,no *-Body0.csv / *-Tracker0.csv in mocap/
EgoMotionActions/20260917/D41/20260917_110212_session182,20260917_110212_session182,20260917,wangjingjing,mocap_trc_unparseable,capture,mocap/mocap-D41-S03-wangjingjing-01p2-Body0.trc,fit,"pandas.errors.ParserError: Error tokenizing data. C error: Expected 163 fields in line 180, saw 361"
EgoMotionActions/20260917/P09/20260917_103250_session170,20260917_103250_session170,20260917,wangjingjing,mocap_trc_unparseable,capture,mocap/mocap-P09-S02-wangjingjing-12p1-Body0.trc,fit,"pandas.errors.ParserError: Error tokenizing data. C error: Expected 4 fields in line 8, saw 163"
EgoMotionActions/20260918/DR11/20260918_081833_session53,20260918_081833_session53,20260918,mahui,mocap_trc_unparseable,capture,mocap/mocap-DR11-S01-mahui-02p1-Body0.trc,fit,"pandas.errors.ParserError: Error tokenizing data. C error: Expected 4 fields in line 8, saw 163"
EgoMotionActions/20260918/LM55/20260918_111938_session96,20260918_111938_session96,20260918,mahui,mocap_trc_unparseable,capture,mocap/mocap-LM55-S01-mahui-01p1-Body0.trc,fit,"ValueError: cannot reshape array of size 14284 into shape (14284,53,3)"
EgoMotionActions/20260918/LM55/20260918_112156_session97,20260918_112156_session97,20260918,mahui,mocap_trc_unparseable,capture,mocap/mocap-LM55-S02-mahui-01p1-Body0.trc,fit,"ValueError: cannot reshape array of size 14884 into shape (14884,53,3)"
EgoMotionActions/20260918/LM59/20260918_105153_session88,20260918_105153_session88,20260918,mahui,mocap_trc_unparseable,capture,mocap/mocap-LM59-S01-mahui-01p2-Body0.trc,fit,"ValueError: cannot reshape array of size 14284 into shape (14284,53,3)"
EgoMotionActions/20260918/LM59/20260918_105406_session89,20260918_105406_session89,20260918,mahui,mocap_trc_unparseable,capture,mocap/mocap-LM59-S02-mahui-01p1-Body0.trc,fit,"ValueError: cannot reshape array of size 14284 into shape (14284,53,3)"
